hsa	Homo sapiens (human)
cfu	Collimonas fungivorans
care	Collimonas arenae
mnr	Massilia sp. NR 4-1
masw	Massilia sp. WG5
lch	Leptothrix cholodnii
tin	Thiomonas intermedia
thi	Thiomonas arsenitoxydans
rge	Rubrivivax gelatinosus
rbn	Rubrivivax benzoatilyticus
bbag	Burkholderiales bacterium GJ-E10
neu	Nitrosomonas europaea
net	Nitrosomonas eutropha
nit	Nitrosomonas sp. AL212
nii	Nitrosomonas sp. Is79A3
nco	Nitrosomonas communis
nmu	Nitrosospira multiformis
eba	Aromatoleum aromaticum
azo	Azoarcus sp. BH72
aza	Azoarcus sp. KH32C
azi	Azoarcus sp. CIB
dar	Dechloromonas aromatica
tmz	Thauera sp. MZ1T
dsu	Dechlorosoma suillum
shd	Sulfuritalea hydrogenivorans
rbu	Rhodocyclaceae bacterium
tbd	Thiobacillus denitrificans
sdr	Sulfuricella denitrificans
mfa	Methylobacillus flagellatus
mmb	Methylotenera mobilis
meh	Methylotenera versatilis
mei	Methylovorus glucosetrophus
mep	Methylovorus sp. MP688
mbac	Candidatus Methylopumilus turicensis
mbat	Candidatus Methylopumilus planktonicus
meu	Methylophilus sp. TWE2
app	Accumulibacter phosphatis
tpn	Candidatus Tremblaya princeps PCIT
tpq	Candidatus Tremblaya princeps PCVAL
tpj	Candidatus Tremblaya phenacola
slt	Sideroxydans lithotrophicus
gca	Gallionella capsiferriformans
kci	Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255)
kct	Candidatus Kinetoplastibacterium crithidii TCC036E
kbl	Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis)
kbt	Candidatus Kinetoplastibacterium blastocrithidii TCC012E
kde	Candidatus Kinetoplastibacterium desouzaii
kga	Candidatus Kinetoplastibacterium galatii
kon	Candidatus Kinetoplastibacterium oncopeltii
ssdc	Candidatus Profftella armatura
ndl	Candidatus Nasuia deltocephalinicola
bprc	Beta proteobacterium CB
hpy	Helicobacter pylori 26695
heo	Helicobacter pylori 26695
hpj	Helicobacter pylori J99
hpa	Helicobacter pylori HPAG1
hps	Helicobacter pylori Shi470
hhp	Helicobacter pylori Shi112
hhq	Helicobacter pylori Shi169
hhr	Helicobacter pylori Shi417
hpg	Helicobacter pylori G27
hpp	Helicobacter pylori P12
hpb	Helicobacter pylori B38
hpl	Helicobacter pylori B8
hpc	Helicobacter pylori PeCan4
hca	Helicobacter pylori PeCan18
hpm	Helicobacter pylori SJM180
hpe	Helicobacter pylori ELS37
hpo	Helicobacter pylori 35A
hpi	Helicobacter pylori 908
hpq	Helicobacter pylori 2017
hpw	Helicobacter pylori 2018
hpu	Helicobacter pylori Cuz20
hef	Helicobacter pylori F16
hpf	Helicobacter pylori F30
heq	Helicobacter pylori F32
hex	Helicobacter pylori F57
hpt	Helicobacter pylori Sat464
hpz	Helicobacter pylori 52
hpv	Helicobacter pylori v225d
hpx	Helicobacter pylori 83
hen	Helicobacter pylori SNT49
hph	Helicobacter pylori Lithuania75
heg	Helicobacter pylori Gambia94/24
hpn	Helicobacter pylori India7
hep	Helicobacter pylori Puno120
heu	Helicobacter pylori Puno135
hes	Helicobacter pylori SouthAfrica7
hpys	Helicobacter pylori SouthAfrica20
hcn	Helicobacter pylori HUP-B14
hpd	Helicobacter pylori 51
hey	Helicobacter pylori XZ274
her	Helicobacter pylori Rif1
hei	Helicobacter pylori Rif2
hpya	Helicobacter pylori Aklavik117
hpyk	Helicobacter pylori Aklavik86
hpyo	Helicobacter pylori OK113
hpyl	Helicobacter pylori OK310
hpyb	Helicobacter pylori oki102
hpyc	Helicobacter pylori oki112
hpyd	Helicobacter pylori oki128
hpye	Helicobacter pylori oki154
hpyf	Helicobacter pylori oki422
hpyg	Helicobacter pylori oki673
hpyh	Helicobacter pylori oki828
hpyj	Helicobacter pylori oki898
hpyr	Helicobacter pylori UM032
hpyi	Helicobacter pylori UM037
hpyu	Helicobacter pylori UM066
hpym	Helicobacter pylori UM299
hem	Helicobacter pylori UM298
heb	Helicobacter pylori BM012A
hez	Helicobacter pylori BM012S
hhe	Helicobacter hepaticus
hac	Helicobacter acinonychis
hms	Helicobacter mustelae
hfe	Helicobacter felis
hbi	Helicobacter bizzozeronii
hce	Helicobacter cetorum MIT 00-7128
hcm	Helicobacter cetorum MIT 99-5656
hcp	Helicobacter cinaedi PAGU611
hcb	Helicobacter cinaedi ATCC BAA-847
hhm	Helicobacter heilmannii
wsu	Wolinella succinogenes
tdn	Sulfurimonas denitrificans
sua	Sulfurimonas autotrophica
sku	Sulfuricurvum kujiense
sulr	Uncultured Sulfuricurvum sp. RIFRC-1
cje	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
cjb	Campylobacter jejuni subsp. jejuni NCTC 11168-BN148
cjj	Campylobacter jejuni subsp. jejuni 81-176
cju	Campylobacter jejuni subsp. jejuni 81116
cjn	Campylobacter jejuni subsp. jejuni ICDCCJ07001
cji	Campylobacter jejuni subsp. jejuni IA3902
cjm	Campylobacter jejuni subsp. jejuni M1
cjs	Campylobacter jejuni subsp. jejuni S3
cjp	Campylobacter jejuni subsp. jejuni PT14
cjej	Campylobacter jejuni subsp. jejuni 00-2426
cjeu	Campylobacter jejuni subsp. jejuni 00-2538
cjen	Campylobacter jejuni subsp. jejuni 00-2544
cjei	Campylobacter jejuni subsp. jejuni 00-2425
cjer	Campylobacter jejuni subsp. jejuni R14
cjv	Campylobacter jejuni subsp. jejuni MTVDSCj20
cjy	Campylobacter jejuni subsp. jejuni YH001
cjq	Campylobacter jejuni subsp. jejuni 35925B2
cjl	Campylobacter jejuni subsp. jejuni 00-1597
cjw	Campylobacter jejuni subsp. jejuni 00-6200
cjr	Campylobacter jejuni RM1221
cjd	Campylobacter jejuni subsp. doylei 269.97
cjz	Campylobacter jejuni 32488
cjx	Campylobacter jejuni 4031
cff	Campylobacter fetus subsp. fetus 82-40
cft	Campylobacter fetus subsp. fetus 04/554
cfv	Campylobacter fetus subsp. venerealis cfvi03/293
cfx	Campylobacter fetus subsp. venerealis 97/608
cfz	Campylobacter fetus subsp. venerealis 84-112
camp	Campylobacter fetus subsp. testudinum 03-427
cfp	Campylobacter fetus subsp. testudinum pet-3
ccv	Campylobacter curvus
cha	Campylobacter hominis
cco	Campylobacter concisus
cla	Campylobacter lari RM2100
clr	Campylobacter lari RM16701
clm	Campylobacter lari RM16712
clq	Campylobacter lari CCUG 22395
cln	Campylobacter lari NCTC 11845
cll	Campylobacter lari subsp. concheus LMG 11760
ccol	Campylobacter coli 76339
ccc	Campylobacter coli CVM N29710
ccq	Campylobacter coli 15-537360
ccf	Campylobacter coli RM1875
ccy	Campylobacter coli RM4661
ccoi	Campylobacter coli RM5611
ccof	Campylobacter coli FB1
caj	Campylobacter sp. 1485E
cis	Campylobacter insulaenigrae
cvo	Campylobacter volucris
cpel	Campylobacter peloridis
camr	Campylobacter sp. RM16704
csm	Campylobacter subantarcticus LMG 24374
csf	Campylobacter subantarcticus LMG 24377
cgra	Campylobacter gracilis
cure	Campylobacter ureolyticus
abu	Arcobacter butzleri RM4018
abt	Arcobacter butzleri ED-1
abl	Arcobacter butzleri 7h1h
ant	Arcobacter nitrofigilis
arc	Arcobacter sp. L
sdl	Sulfurospirillum deleyianum
sba	Sulfurospirillum barnesii
smul	Sulfurospirillum multivorans
nsa	Nitratifractor salsuginis
nis	Nitratiruptor sp. SB155-2
sun	Sulfurovum sp. NBC37-1
slh	Sulfurovum lithotrophicum
nam	Nautilia profundicola
gsu	Geobacter sulfurreducens PCA
gsk	Geobacter sulfurreducens KN400
gme	Geobacter metallireducens
gur	Geobacter uraniireducens
glo	Geobacter lovleyi
gbm	Geobacter bemidjiensis
geo	Geobacter daltonii FRC-32
gem	Geobacter sp. M21
geb	Geobacter sp. M18
gpi	Geobacter pickeringii
gsb	Geoalkalibacter subterraneus
pca	Pelobacter carbinolicus
ppd	Pelobacter propionicus
des	Desulfuromonas sp. WTL
dvu	Desulfovibrio vulgaris Hildenborough
dvl	Desulfovibrio vulgaris DP4
dvm	Desulfovibrio vulgaris Miyazaki F
dvg	Desulfovibrio vulgaris RCH1
dde	Desulfovibrio alaskensis
dds	Desulfovibrio desulfuricans ATCC 27774
ddn	Desulfovibrio desulfuricans ND132
dma	Desulfovibrio magneticus
dsa	Desulfovibrio salexigens
das	Desulfovibrio aespoeensis
daf	Desulfovibrio africanus
dhy	Desulfovibrio hydrothermalis
dpi	Desulfovibrio piezophilus
dgg	Desulfovibrio gigas
lip	Lawsonia intracellularis PHE/MN1-00
lir	Lawsonia intracellularis N343
dba	Desulfomicrobium baculatum
drt	Desulfohalobium retbaense
bba	Bdellovibrio bacteriovorus HD100
bbat	Bdellovibrio bacteriovorus Tiberius
bbw	Bdellovibrio bacteriovorus W
bbac	Bdellovibrio bacteriovorus 109J
bex	Bdellovibrio exovorus
bmx	Halobacteriovorax marinus
dps	Desulfotalea psychrophila
dak	Desulfurivibrio alkaliphilus
dpr	Desulfobulbus propionicus
dsf	Desulfocapsa sulfexigens
dol	Candidatus Desulfococcus oleovorans
dal	Desulfatibacillum alkenivorans
dat	Desulfobacterium autotrophicum
dto	Desulfobacula toluolica
ade	Anaeromyxobacter dehalogenans 2CP-C
acp	Anaeromyxobacter dehalogenans 2CP-1
afw	Anaeromyxobacter sp. Fw109-5
ank	Anaeromyxobacter sp. K
mxa	Myxococcus xanthus
mfu	Myxococcus fulvus
msd	Myxococcus stipitatus
mym	Myxococcus sp. mixupus
ccx	Corallococcus coralloides
sur	Stigmatella aurantiaca
age	Archangium gephyra
vin	Vulgatibacter incomptus
scl	Sorangium cellulosum So ce 56
scu	Sorangium cellulosum So0157-2
ccro	Chondromyces crocatus
samy	Sandaracinus amylolyticus
llu	Labilithrix luteola
hoh	Haliangium ochraceum
sat	Syntrophus aciditrophicus
dao	Desulfobacca acetoxidans
dti	Desulfomonile tiedjei
sfu	Syntrophobacter fumaroxidans
dbr	Desulfarculus baarsii
hmr	Hippea maritima
dav	Desulfurella acetivorans
dpb	Candidatus Babela massiliensis
rpr	Rickettsia prowazekii Madrid E
rpo	Rickettsia prowazekii BuV67-CWPP
rpw	Rickettsia prowazekii Chernikova
rpz	Rickettsia prowazekii Dachau
rpg	Rickettsia prowazekii GvV257
rps	Rickettsia prowazekii Katsinyian
rpv	Rickettsia prowazekii RpGvF24
rpq	Rickettsia prowazekii Rp22
rpl	Rickettsia prowazekii Breinl
rpn	Rickettsia prowazekii NMRC Madrid E
rty	Rickettsia typhi Wilmington
rtt	Rickettsia typhi TH1527
rtb	Rickettsia typhi B9991CWPP
rcm	Rickettsia canadensis McKiel
rcc	Rickettsia canadensis CA410
rbe	Rickettsia bellii RML369-C
rbo	Rickettsia bellii OSU 85-389
rco	Rickettsia conorii
rfe	Rickettsia felis
rak	Rickettsia akari
rri	Rickettsia rickettsii Sheila Smith
rrj	Rickettsia rickettsii Iowa
rra	Rickettsia rickettsii Arizona
rrc	Rickettsia rickettsii Colombia
rrh	Rickettsia rickettsii Hauke
rrb	Rickettsia rickettsii Brazil
rrn	Rickettsia rickettsii Hino
rrp	Rickettsia rickettsii Hlp#2
rrm	Rickettsia rickettsii Morgan
rrr	Rickettsia rickettsii R
rms	Rickettsia massiliae MTU5
rmi	Rickettsia massiliae AZT80
rpk	Rickettsia peacockii
raf	Rickettsia africae
rhe	Rickettsia heilongjiangensis
rja	Rickettsia japonica
rsv	Rickettsia slovaca 13-B
rsw	Rickettsia slovaca D-CWPP
rph	Rickettsia philipii
rau	Rickettsia australis
rmo	Rickettsia montanensis
rpp	Rickettsia parkeri
rre	Rickettsia rhipicephali
ram	Candidatus Rickettsia amblyommii
rmc	Rickettsia monacensis
ots	Orientia tsutsugamushi Boryong
ott	Orientia tsutsugamushi Ikeda
wol	Wolbachia wMel (Drosophila melanogaster)
wri	Wolbachia wRi (Drosophila simulans)
wen	Wolbachia wHa (Drosophila simulans)
wed	Wolbachia wNo (Drosophila simulans)
wpi	Wolbachia wPip (Culex quinquefasciatus)
wbm	Wolbachia wBm (Brugia malayi)
woo	Wolbachia wOo (Onchocerca ochengi)
wcl	Wolbachia wCle (Cimex lectularius)
ama	Anaplasma marginale St. Maries
amf	Anaplasma marginale Florida
amw	Anaplasma marginale Dawn
amp	Anaplasma marginale Gypsy Plains
acn	Anaplasma centrale
aph	Anaplasma phagocytophilum HZ
apy	Anaplasma phagocytophilum HZ2
apd	Anaplasma phagocytophilum Dog2
apha	Anaplasma phagocytophilum JM
eru	Ehrlichia ruminantium Welgevonden (South Africa)
erw	Ehrlichia ruminantium Welgevonden (France)
erg	Ehrlichia ruminantium Gardel
ecn	Ehrlichia canis
ech	Ehrlichia chaffeensis Arkansas
echa	Ehrlichia chaffeensis Heartland
echj	Ehrlichia chaffeensis Jax
echl	Ehrlichia chaffeensis Liberty
echs	Ehrlichia chaffeensis Osceola
echv	Ehrlichia chaffeensis Saint Vincent
echw	Ehrlichia chaffeensis Wakulla
echp	Ehrlichia chaffeensis West Paces
emr	Ehrlichia muris
ehh	Ehrlichia sp. HF
nse	Neorickettsia sennetsu
nri	Neorickettsia risticii
nhm	Neorickettsia helminthoeca
mmn	Candidatus Midichloria mitochondrii
paca	Candidatus Paracaedibacter acanthamoebae
caq	Candidatus Caedibacter acanthamoebae
eaa	Endosymbiont of Acanthamoeba sp. UWC8
rbt	Rickettsiales bacterium Ac37b
mlo	Mesorhizobium loti
mci	Mesorhizobium ciceri
mop	Mesorhizobium opportunistum
mam	Mesorhizobium australicum
mes	Chelativorans sp. BNC1
hoe	Hoeflea sp. IMCC20628
pla	Parvibaculum lavamentivorans
sme	Sinorhizobium meliloti 1021
smk	Sinorhizobium meliloti AK83
smq	Sinorhizobium meliloti BL225C
smx	Sinorhizobium meliloti SM11
smi	Sinorhizobium meliloti Rm41
smeg	Sinorhizobium meliloti GR4
smel	Sinorhizobium meliloti 2011
smer	Sinorhizobium meliloti RMO17
smd	Sinorhizobium medicae
rhi	Sinorhizobium fredii NGR234
sfh	Sinorhizobium fredii HH103
sfd	Sinorhizobium fredii USDA 257
ead	Ensifer adhaerens
atu	Agrobacterium fabrum
ara	Agrobacterium radiobacter
atf	Agrobacterium tumefaciens
avi	Agrobacterium vitis
agr	Agrobacterium sp. H13-3
ret	Rhizobium etli CFN 42
rec	Rhizobium etli CIAT 652
rel	Rhizobium etli bv. mimosae Mim1
rei	Rhizobium etli bv. mimosae IE4771
rep	Rhizobium etli bv. phaseoli IE4803
rle	Rhizobium leguminosarum bv. viciae 3841
rlt	Rhizobium leguminosarum bv. trifolii WSM2304
rlg	Rhizobium leguminosarum bv. trifolii WSM1325
rlb	Rhizobium leguminosarum bv. trifolii WSM1689
rlu	Rhizobium leguminosarum bv. trifolii CB782
rtr	Rhizobium tropici
rir	Rhizobium sp. IRBG74
rhl	Rhizobium sp. LPU83
rga	Rhizobium gallicum
ngl	Neorhizobium galegae bv. officinalis bv. officinalis HAMBI 1141
ngg	Neorhizobium galegae bv. orientalis HAMBI 540
las	Candidatus Liberibacter asiaticus psy62
laa	Candidatus Liberibacter asiaticus gxpsy
lat	Candidatus Liberibacter asiaticus Ishi-1
lso	Candidatus Liberibacter solanacearum
lcc	Liberibacter crescens
lar	Candidatus Liberibacter americanus
lau	Candidatus Liberibacter africanus
bme	Brucella melitensis bv. 1 16M
bmel	Brucella melitensis bv. 1 16M
bmi	Brucella melitensis ATCC 23457
bmz	Brucella melitensis M28
bmg	Brucella melitensis M5-90
bmw	Brucella melitensis NI
bmee	Brucella melitensis bv. 3 Ether
bmf	Brucella abortus 2308
bmb	Brucella abortus bv. 1 9-941
bmc	Brucella abortus S19
baa	Brucella abortus A13334
babo	Brucella abortus bv. 2 86/8/59
babr	Brucella abortus bv. 6 870
babt	Brucella abortus 63 75
babb	Brucella abortus BDW
babu	Brucella abortus bv. 9 C68
babs	Brucella abortus BER
babc	Brucella abortus NCTC 10505
bms	Brucella suis 1330
bsi	Brucella suis 1330
bsf	Brucella suis bv. 1
bsui	Brucella suis bv. 2 Bs143CITA
bsup	Brucella suis bv. 2 PT09143
bsuv	Brucella suis bv. 2 PT09172
bsuc	Brucella suis bv. 2 Bs364CITA
bmt	Brucella suis ATCC 23445
bsz	Brucella suis bv. 3
bsv	Brucella suis VBI22
bsw	Brucella suis ZW043
bsg	Brucella suis ZW046
bov	Brucella ovis
bcs	Brucella canis ATCC 23365
bsk	Brucella canis HSK A52141
bol	Brucella canis Oliveri
bcar	Brucella canis RM6/66
bcas	Brucella canis SVA13
bmr	Brucella microti
bpp	Brucella pinnipedialis B2/94
bpv	Brucella pinnipedialis 6/566
bcet	Brucella ceti TE10759-12
bcee	Brucella ceti TE28753-12
oan	Ochrobactrum anthropi ATCC 49188
oah	Ochrobactrum anthropi OAB
bja	Bradyrhizobium diazoefficiens USDA 110
bju	Bradyrhizobium japonicum USDA 6
bjp	Bradyrhizobium japonicum E109
bra	Bradyrhizobium sp. ORS 278
bbt	Bradyrhizobium sp. BTAi1
brs	Bradyrhizobium sp. S23321
aol	Bradyrhizobium oligotrophicum
rpa	Rhodopseudomonas palustris CGA009
rpb	Rhodopseudomonas palustris HaA2
rpc	Rhodopseudomonas palustris BisB18
rpd	Rhodopseudomonas palustris BisB5
rpe	Rhodopseudomonas palustris BisA53
rpt	Rhodopseudomonas palustris TIE-1
rpx	Rhodopseudomonas palustris DX-1
nwi	Nitrobacter winogradskyi
nha	Nitrobacter hamburgensis
oca	Oligotropha carboxidovorans OM5 (Mississippi)
ocg	Oligotropha carboxidovorans OM5 (Goettingen)
oco	Oligotropha carboxidovorans OM4
bhe	Bartonella henselae Houston-1
bhn	Bartonella henselae BM1374163
bhs	Bartonella henselae BM1374165
bqu	Bartonella quintana Toulouse
bqr	Bartonella quintana RM-11
bbk	Bartonella bacilliformis
btr	Bartonella tribocorum CIP 105476
btx	Bartonella tribocorum BM1374166
bgr	Bartonella grahamii
bcd	Bartonella clarridgeiae
baus	Bartonella australis
bvn	Bartonella vinsonii
banc	Candidatus Bartonella ancashi
xau	Xanthobacter autotrophicus
azc	Azorhizobium caulinodans
sno	Starkeya novella
mex	Methylobacterium extorquens PA1
mea	Methylobacterium extorquens AM1
mdi	Methylobacterium extorquens DM4
mch	Methylobacterium extorquens CM4
mrd	Methylobacterium radiotolerans
met	Methylobacterium sp. 4-46
mpo	Methylobacterium populi
mno	Methylobacterium nodulans
mor	Methylobacterium oryzae
bid	Beijerinckia indica
msl	Methylocella silvestris
chel	Chelatococcus sp. CO-6
hdn	Hyphomicrobium denitrificans ATCC 51888
hdt	Hyphomicrobium denitrificans 1NES1
hmc	Hyphomicrobium sp. MC1
hni	Hyphomicrobium nitrativorans
rva	Rhodomicrobium vannielii
phl	Pelagibacterium halotolerans
fil	Filomicrobium sp. W
fiy	Filomicrobium sp. Y
deq	Devosia sp. H5989
bvr	Blastochloris viridis
msc	Methylocystis sp. SC2
mey	Martelella endophytica
hci	Candidatus Hodgkinia cicadicola Dsem
hct	Candidatus Hodgkinia cicadicola TETULN
hcc	Candidatus Hodgkinia cicadicola TETUND1
hcd	Candidatus Hodgkinia cicadicola TETUND2
mcg	Methyloceanibacter caenitepidi
ccr	Caulobacter crescentus CB15
ccs	Caulobacter crescentus NA1000
cak	Caulobacter sp. K31
cse	Caulobacter segnis
chq	Caulobacter henricii
pzu	Phenylobacterium zucineum
bsb	Brevundimonas subvibrioides
brd	Brevundimonas sp. DS20
aex	Asticcacaulis excentricus
sil	Ruegeria pomeroyi
sit	Ruegeria sp. TM1040
rsp	Rhodobacter sphaeroides 2.4.1
rsh	Rhodobacter sphaeroides ATCC 17029
rsq	Rhodobacter sphaeroides ATCC 17025
rsk	Rhodobacter sphaeroides KD131
rcp	Rhodobacter capsulatus
jan	Jannaschia sp. CCS1
rde	Roseobacter denitrificans
rli	Roseobacter litoralis
pde	Paracoccus denitrificans
pami	Paracoccus aminophilus
dsh	Dinoroseobacter shibae
kvu	Ketogulonicigenium vulgare Y25
kvl	Ketogulonicigenium vulgare WSH-001
psf	Pseudovibrio sp. FO-BEG1
pga	Phaeobacter inhibens
pgl	Phaeobacter gallaeciensis 2.10
pgd	Phaeobacter gallaeciensis DSM 26640
oat	Octadecabacter antarcticus
oar	Octadecabacter arcticus
otm	Octadecabacter temperatus
lmd	Leisingera methylohalidivorans
red	Roseibacterium elongatum
ptp	Planktomarina temperata
cid	Celeribacter indicus
cmar	Celeribacter marinus
malg	Marinovum algicola
con	Confluentimicrobium sp. EMB200-NS6
mmr	Maricaulis maris
hne	Hyphomonas neptunium
hba	Hirschia baltica
zmo	Zymomonas mobilis subsp. mobilis ZM4
zmn	Zymomonas mobilis subsp. mobilis NCIMB 11163
zmm	Zymomonas mobilis subsp. mobilis ATCC 10988
zmb	Zymomonas mobilis subsp. mobilis ATCC 29191
zmi	Zymomonas mobilis subsp. mobilis CP4 = NRRL B-14023
zmc	Zymomonas mobilis subsp. mobilis CP4 = NRRL B-14023
zmr	Zymomonas mobilis subsp. mobilis NRRL B-12526
zmp	Zymomonas mobilis subsp. pomaceae ATCC 29192
nar	Novosphingobium aromaticivorans
npp	Novosphingobium sp. PP1Y
npn	Novosphingobium pentaromativorans
sal	Sphingopyxis alaskensis
sphk	Sphingopyxis fribergensis
sphp	Sphingopyxis sp. 113P3
smag	Sphingopyxis macrogoltabida
swi	Sphingomonas wittichii
sphm	Sphingomonas sp. MM-1
stax	Sphingomonas taxi
sphi	Sphingomonas sp. WHSC-8
ssan	Sphingomonas sanxanigenens
sjp	Sphingobium japonicum
sch	Sphingobium chlorophenolicum
ssy	Sphingobium sp. SYK-6
syb	Sphingobium sp. YBL2
cij	Citromicrobium sp. JL477
eli	Erythrobacter litoralis
ery	Erythrobacter sp. s21-N3
aay	Altererythrobacter atlanticus
amx	Altererythrobacter marensis
aep	Altererythrobacter epoxidivorans
cna	Croceicoccus naphthovorans
gox	Gluconobacter oxydans 621H
goh	Gluconobacter oxydans H24
goy	Gluconobacter oxydans DSM 3504
gbe	Granulibacter bethesdensis CGDNIH1
gbh	Granulibacter bethesdensis CGDNIH2
gbc	Granulibacter bethesdensis CGDNIH3
gbs	Granulibacter bethesdensis CGDNIH4
acr	Acidiphilium cryptum
amv	Acidiphilium multivorum
gdi	Gluconacetobacter diazotrophicus PAl 5 (Brazil)
gdj	Gluconacetobacter diazotrophicus PA1 5 (JGI)
gxy	Komagataeibacter medellinensis
gxl	Komagataeibacter xylinus
apt	Acetobacter pasteurianus IFO 3283-01
apw	Acetobacter pasteurianus IFO 3283-01-42C
apf	Acetobacter pasteurianus IFO 3283-03
apu	Acetobacter pasteurianus IFO 3283-07
apg	Acetobacter pasteurianus IFO 3283-12
apq	Acetobacter pasteurianus IFO 3283-22
apx	Acetobacter pasteurianus IFO 3283-26
apz	Acetobacter pasteurianus IFO 3283-32
apk	Acetobacter pasteurianus 386B
rru	Rhodospirillum rubrum ATCC 11170
rrf	Rhodospirillum rubrum F11
rce	Rhodospirillum centenum
rpm	Pararhodospirillum photometricum
mag	Magnetospirillum magneticum
mgy	Magnetospirillum gryphiswaldense
azl	Azospirillum sp. B510
ali	Azospirillum lipoferum
abs	Azospirillum brasilense Sp245
abq	Azospirillum brasilense Az39
ati	Azospirillum thiophilum
tmo	Tistrella mobilis
thal	Candidatus Endolissoclinum faulkneri
txi	Thalassospira xiamenensis
magq	Magnetospira sp. QH-2
pbr	Parvularcula bermudensis
mgm	Magnetococcus marinus
mai	Micavibrio aeruginosavorus ARL-13
man	Micavibrio aeruginosavorus EPB
pgv	Polymorphum gilvum
pub	Candidatus Pelagibacter ubique
pel	Candidatus Pelagibacter sp. IMCC9063
apc	Alpha proteobacterium HIMB59
apm	Alpha proteobacterium HIMB5
apb	Candidatus Puniceispirillum marinum
bsu	Bacillus subtilis subsp. subtilis 168
bsr	Bacillus subtilis subsp. subtilis RO-NN-1
bsl	Bacillus subtilis subsp. subtilis BSP1
bsh	Bacillus subtilis subsp. subtilis 6051-HGW
bsy	Bacillus subtilis subsp. subtilis BAB-1
bsut	Bacillus subtilis subsp. subtilis AG1839
bsul	Bacillus subtilis subsp. subtilis JH642
bsus	Bacillus subtilis subsp. subtilis OH 131.1
bss	Bacillus subtilis subsp. spizizenii W23
bst	Bacillus subtilis subsp. spizizenii TU-B-10
bso	Bacillus subtilis subsp. natto BEST195
bsn	Bacillus subtilis BSn5
bsq	Bacillus subtilis QB928
bsx	Bacillus subtilis XF-1
bsp	Bacillus subtilis PY79
bli	Bacillus licheniformis ATCC 14580
bld	Bacillus licheniformis DSM 13 = ATCC 14580
blh	Bacillus licheniformis 9945A
bay	Bacillus methylotrophicus FZB42
baq	Bacillus methylotrophicus CAU B946
bya	Bacillus methylotrophicus YAU B9601-Y2
bamp	Bacillus methylotrophicus AS43.3
baml	Bacillus methylotrophicus UCMB5036
bama	Bacillus methylotrophicus UCMB5033
bamn	Bacillus methylotrophicus UCMB5113
bamb	Bacillus methylotrophicus NAU-B3
bamt	Bacillus methylotrophicus TrigoCor1448
bamy	Bacillus methylotrophicus SQR9
bmp	Bacillus methylotrophicus JS25R
bao	Bacillus amyloliquefaciens DSM 7
baz	Bacillus amyloliquefaciens TA208
bql	Bacillus amyloliquefaciens LL3
bxh	Bacillus amyloliquefaciens XH7
bqy	Bacillus amyloliquefaciens Y2
bami	Bacillus amyloliquefaciens IT-45
bamc	Bacillus amyloliquefaciens CC178
bamf	Bacillus amyloliquefaciens LFB112
bae	Bacillus atrophaeus 1942
batr	Bacillus atrophaeus NRS 1221A
bha	Bacillus halodurans
ban	Bacillus anthracis Ames
bar	Bacillus anthracis Ames Ancestor
bat	Bacillus anthracis Sterne
bah	Bacillus anthracis CDC 684
bai	Bacillus anthracis A0248
bax	Bacillus anthracis H9401
bant	Bacillus anthracis A16
banr	Bacillus anthracis A16R
bans	Bacillus anthracis SVA11
banh	Bacillus anthracis HYU01
banv	Bacillus anthracis Vollum
bal	Bacillus cereus biovar anthracis CI
bce	Bacillus cereus ATCC 14579
bca	Bacillus cereus ATCC 10987
bcz	Bacillus cereus E33L
bcr	Bacillus cereus AH187
bcb	Bacillus cereus B4264
bcu	Bacillus cereus AH820
bcg	Bacillus cereus G9842
bcq	Bacillus cereus Q1
bcx	Bacillus cereus 03BB102
bnc	Bacillus cereus NC7401
bcf	Bacillus cereus F837/76
bcer	Bacillus cereus FRI-35
bcef	Bacillus cereus FT9
bcy	Bacillus cytotoxicus
btk	Bacillus thuringiensis 97-27
btl	Bacillus thuringiensis Al Hakam
btb	Bacillus thuringiensis BMB171
btt	Bacillus thuringiensis serovar kurstaki HD73
bthr	Bacillus thuringiensis serovar kurstaki YBT-1520
bthi	Bacillus thuringiensis serovar kurstaki HD-1
btc	Bacillus thuringiensis serovar chinensis CT-43
btf	Bacillus thuringiensis serovar finitimus YBT-020
btm	Bacillus thuringiensis MC28
btg	Bacillus thuringiensis Bt407
bti	Bacillus thuringiensis HD-771
btn	Bacillus thuringiensis HD-789
btht	Bacillus thuringiensis serovar thuringiensis IS5056
bthu	Bacillus thuringiensis YBT-1518
btw	Bacillus thuringiensis HD1011
bwe	Bacillus weihenstephanensis KBAB4
bww	Bacillus weihenstephanensis WSBC 10204
bty	Bacillus toyonensis
bmyc	Bacillus mycoides 219298
bmyo	Bacillus mycoides ATCC 6462
bcl	Bacillus clausii
bpu	Bacillus pumilus SAFR-032
bpum	Bacillus pumilus MTCC B6033
bpf	Bacillus pseudofirmus
bmq	Bacillus megaterium QM B1551
bmd	Bacillus megaterium DSM 319
bmh	Bacillus megaterium WSH-002
bmeg	Bacillus megaterium NBRC 15308 = ATCC 14581
bco	Bacillus cellulosilyticus
bck	Bacillus coagulans 2-6
bag	Bacillus coagulans 36D1
